epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0401,1.65073,5.52291,1.18763,0,0,0,0,1.22128,5.77101,1.11872,6.668e-05,6.668e-05,6.668e-05
2,46.6386,1.33104,5.01618,1.04858,0.00392,0.6,0.0066,0.00477,1.25132,5.20924,0.92494,0.000147059,0.000147059,0.000147059
3,71.586,1.31876,4.0829,0.94601,0.00414,0.66667,0.00499,0.00264,1.06299,4.88029,0.87277,0.000224138,0.000224138,0.000224138
4,95.3053,1.29883,3.01275,0.93843,0.00333,0.53333,0.00291,0.00141,1.19554,4.79395,0.92095,0.000297916,0.000297916,0.000297916
5,119.462,1.27514,3.05576,0.93774,0.00345,0.53333,0.01017,0.00251,1.16916,4.81545,0.89299,0.000368394,0.000368394,0.000368394
6,143.365,1.16355,2.92866,0.93908,0.00357,0.53333,0.00796,0.00276,1.22074,4.86571,0.89203,0.00043557,0.00043557,0.00043557
7,166.556,1.21963,2.46776,0.99095,0.00365,0.53333,0.00281,0.00145,1.08282,4.89951,0.91105,0.000499447,0.000499447,0.000499447
8,190.596,1.1072,2.16316,0.9547,0,0,0,0,1.07377,5.00203,0.91294,0.000560022,0.000560022,0.000560022
9,214.651,1.18138,1.89866,0.96073,0.00043,0.06667,0.00023,0.00021,1.17369,4.86915,0.90473,0.000617297,0.000617297,0.000617297
10,238.111,1.2402,2.08844,0.99146,0.00084,0.13333,0.00187,0.00131,1.1243,4.65872,0.90045,0.000671271,0.000671271,0.000671271
11,261.431,1.08121,1.97929,0.92466,0.00126,0.2,0.03635,0.02318,1.21123,4.37264,0.91481,0.000721944,0.000721944,0.000721944
12,285.756,1.16078,1.79829,0.93136,0.42136,0.13333,0.15138,0.10662,1.04102,4.12393,0.90135,0.000769317,0.000769317,0.000769317
13,309.439,1.07673,1.95893,0.9426,0.14898,0.13333,0.14672,0.09264,1.07563,4.18292,0.90521,0.000813389,0.000813389,0.000813389
14,333.289,1.10188,1.84734,0.95974,0.00405,0.66667,0.01515,0.01143,1.14001,4.24311,0.9317,0.000854161,0.000854161,0.000854161
