epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1812,1.60099,5.53013,1.16542,0.00139,0.37198,0.04459,0.01917,0.66522,6.06324,0.47422,0.00015003,0.00015003,0.00015003
2,102.296,1.47808,3.98011,0.96014,0.00107,0.26087,0.14879,0.0519,0.60877,5.78098,0.44057,0.000310459,0.000310459,0.000310459
3,152.842,1.3875,3.10055,0.97444,0.00086,0.21739,0.0009,0.00049,0.5692,5.62512,0.44042,0.000464286,0.000464286,0.000464286
4,201.773,1.33184,2.52202,0.98446,0.00017,0.04348,0.0001,5e-05,0.60027,5.60658,0.45405,0.000611512,0.000611512,0.000611512
5,250.59,1.31944,2.25866,0.95745,0.00056,0.1087,0.00043,0.00032,0.61073,5.36585,0.46401,0.000752137,0.000752137,0.000752137
6,298.698,1.32362,2.24502,0.94923,0.00104,0.28502,0.05804,0.0401,0.5761,5.12136,0.46684,0.000886161,0.000886161,0.000886161
7,346.923,1.27453,1.97063,0.92753,0.69749,0.17806,0.27717,0.17572,0.62718,4.83017,0.47187,0.00101358,0.00101358,0.00101358
8,394.811,1.26645,1.95837,0.97138,1,0.06108,0.16218,0.12843,0.61043,4.73986,0.4697,0.0011344,0.0011344,0.0011344
9,443.692,1.29069,1.89723,0.98739,0.92296,0.12019,0.41942,0.27215,0.69555,4.45131,0.48304,0.00124862,0.00124862,0.00124862
10,495.546,1.32312,1.88454,0.97306,0.94011,0.44654,0.72294,0.44271,0.65061,3.96926,0.46945,0.00135624,0.00135624,0.00135624
11,547.338,1.25385,1.73543,0.9648,0.77081,0.43678,0.68062,0.43809,0.65667,4.1782,0.47754,0.00133693,0.00133693,0.00133693
12,600.161,1.22225,1.68763,0.96168,0.88846,0.6743,0.75243,0.51263,0.62051,3.96515,0.47778,0.00130393,0.00130393,0.00130393
13,653.096,1.2329,1.66116,0.98893,0.85884,0.65194,0.73518,0.48754,0.63202,6.21473,0.50044,0.00127092,0.00127092,0.00127092
14,718.857,1.22197,1.49887,0.97161,0.83919,0.70738,0.80447,0.53952,0.61852,4.03047,0.48764,0.00123791,0.00123791,0.00123791
15,767.395,1.18616,1.49379,0.93689,0.92633,0.72642,0.81995,0.52559,0.60952,3.56404,0.48215,0.00120491,0.00120491,0.00120491
16,809.633,1.11983,1.50871,0.92643,0.91227,0.73301,0.7906,0.56393,0.59164,6.80955,0.48772,0.0011719,0.0011719,0.0011719
17,851.236,1.20774,1.34779,0.95799,0.94842,0.73176,0.7817,0.53843,0.61064,6.67444,0.48463,0.00113889,0.00113889,0.00113889
18,893.315,1.16715,1.26833,0.94182,0.95161,0.70046,0.72374,0.5261,0.58539,4.63358,0.47663,0.00110589,0.00110589,0.00110589
19,934.103,1.22833,1.35249,0.95174,0.8892,0.69825,0.72172,0.47356,0.65982,3.88037,0.49381,0.00107288,0.00107288,0.00107288
20,981.079,1.18121,1.20933,0.95465,0.93761,0.75467,0.84236,0.57307,0.57285,7.73509,0.48502,0.00103987,0.00103987,0.00103987
21,1032.85,1.15176,1.16264,0.91104,0.85433,0.9227,0.90168,0.54493,0.66356,7.49182,0.51606,0.00100687,0.00100687,0.00100687
22,1086.3,1.12149,1.12323,0.92192,0.90304,0.83363,0.88871,0.57179,0.6058,6.48302,0.49509,0.000973861,0.000973861,0.000973861
23,1136.65,1.06721,1.09776,0.89751,0.92533,0.79234,0.88907,0.57843,0.63785,4.53971,0.50121,0.000940855,0.000940855,0.000940855
24,1187.85,1.08392,1.12432,0.93999,0.85474,0.89423,0.9006,0.59288,0.58366,6.64405,0.49034,0.000907848,0.000907848,0.000907848
25,1234.48,1.06426,1.05649,0.94063,0.92402,0.80449,0.8486,0.62221,0.52992,5.75973,0.47121,0.000874842,0.000874842,0.000874842
26,1274.97,1.08663,1.10589,0.93499,0.94091,0.82249,0.86708,0.61275,0.55617,4.80181,0.4766,0.000841835,0.000841835,0.000841835
27,1318.04,1.04094,0.99052,0.90074,0.93028,0.84876,0.89609,0.61227,0.57194,6.24206,0.47886,0.000808828,0.000808828,0.000808828
28,1360.15,0.97072,0.97324,0.89119,0.95808,0.8027,0.84387,0.59434,0.56931,4.74446,0.48259,0.000775822,0.000775822,0.000775822
29,1404.65,1.00167,1.03047,0.9149,0.87526,0.84631,0.84469,0.60835,0.54903,4.25162,0.47501,0.000742815,0.000742815,0.000742815
30,1455.78,0.96267,0.90342,0.89254,0.94733,0.75604,0.84034,0.5843,0.56588,5.04492,0.47415,0.000709809,0.000709809,0.000709809
31,1506.69,0.97835,0.93481,0.89267,0.95592,0.75269,0.83437,0.59812,0.57716,4.94182,0.48228,0.000676802,0.000676802,0.000676802
32,1559.27,1.00147,0.93057,0.90423,0.81021,0.81159,0.81571,0.58953,0.56404,5.16392,0.48764,0.000643795,0.000643795,0.000643795
33,1612.79,0.97452,0.90507,0.89741,0.86161,0.80074,0.84022,0.59088,0.59161,6.28561,0.47639,0.000610789,0.000610789,0.000610789
34,1665.38,0.93573,0.94233,0.90808,0.84332,0.8064,0.82301,0.56184,0.56177,6.1501,0.46557,0.000577782,0.000577782,0.000577782
35,1714.88,0.94179,0.84052,0.86218,0.84182,0.80697,0.82197,0.54326,0.62891,5.50496,0.47612,0.000544776,0.000544776,0.000544776
36,1763.66,0.91834,0.85578,0.89373,0.8438,0.84532,0.827,0.55121,0.62416,6.44347,0.47986,0.000511769,0.000511769,0.000511769
37,1812.89,0.86608,0.78469,0.8764,0.84409,0.84974,0.83721,0.56535,0.62425,7.31951,0.48799,0.000478762,0.000478762,0.000478762
38,1869.07,0.89326,0.82702,0.87559,0.92613,0.91448,0.90087,0.58176,0.63384,5.44094,0.47893,0.000445756,0.000445756,0.000445756
39,1925.45,0.9283,0.83295,0.89082,0.92471,0.92271,0.90274,0.56085,0.64589,4.67179,0.47506,0.000412749,0.000412749,0.000412749
40,1978.63,0.90916,0.80067,0.8713,0.92796,0.92271,0.92712,0.5571,0.64403,6.10022,0.47818,0.000379743,0.000379743,0.000379743
41,2030.58,0.87283,0.90462,0.88675,0.92983,0.92271,0.92524,0.52685,0.65128,6.86615,0.48476,0.000346736,0.000346736,0.000346736
42,2082.29,0.92384,0.8773,0.90754,0.86317,0.86715,0.83908,0.5536,0.59952,6.05538,0.48251,0.000313729,0.000313729,0.000313729
